class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
1,qid:91,2,0,1,0,1,3,0,0,0,1,5,14,1,5,2,1.8,3
1,qid:92,0,0,0,1,1,3,0,0,1,0,2,8,0,4,1,1.5,2
0,qid:92,0,1,1,2,2,0,0,1,0,1,6,19,5,8,4,1.4,3
1,qid:93,1,0,2,0,1,1,0,0,0,2,6,15,1,6,3,1.3,2
0,qid:93,2,0,1,1,1,2,0,0,1,1,8,21,4,11,3,2.6,3
1,qid:94,0,1,0,1,0,2,0,0,0,2,5,17,5,5,1,1.8,3
0,qid:94,3,0,0,0,2,1,0,0,0,0,7,15,2,6,2,2.5,3
1,qid:95,0,1,0,1,1,5,0,0,0,0,6,16,2,9,2,1.6,2
0,qid:95,2,0,1,0,0,4,0,1,0,0,4,15,2,6,2,1.5,3
0,qid:96,0,0,1,1,0,2,0,1,1,0,6,19,7,10,4,2.3,2
1,qid:96,0,0,1,0,2,0,0,1,0,0,4,11,3,3,2,1,1
1,qid:97,0,1,1,0,0,0,0,0,0,0,3,7,2,2,1,1.5,2
0,qid:97,0,0,0,2,2,3,0,0,0,3,9,19,0,6,4,1.3,2
1,qid:98,1,0,1,0,2,4,0,0,0,1,4,16,3,8,3,1.5,3
0,qid:98,0,0,0,3,3,1,0,0,1,2,8,20,2,5,2,1,1
1,qid:99,3,0,0,0,0,1,0,0,0,0,4,9,1,3,1,1.3,2
0,qid:99,1,1,0,1,0,3,0,0,1,2,7,21,4,7,2,2.1,3
0,qid:100,1,0,1,1,1,1,0,0,0,1,8,18,4,7,2,1.4,2
1,qid:100,0,0,0,1,0,4,0,0,0,0,6,16,5,5,1,2.2,3
1,qid:101,0,0,0,0,0,2,0,0,0,0,1,3,0,1,1,1,1
0,qid:101,0,0,0,0,0,1,0,0,0,0,1,3,1,1,1,1,1
1,qid:102,1,0,0,1,1,3,0,0,1,0,6,15,2,6,1,2.3,4
0,qid:102,2,0,0,1,1,6,0,0,0,2,6,19,1,7,3,2.3,3
0,qid:103,3,0,0,0,1,10,0,0,0,0,4,18,0,8,6,1.3,2
1,qid:103,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,1
1,qid:104,1,1,0,0,0,5,0,0,0,0,5,12,0,4,1,1.8,2
0,qid:104,3,0,0,2,0,3,0,0,2,2,3,17,2,7,3,1.7,3
1,qid:105,1,0,0,0,0,4,0,0,0,0,4,9,0,3,0,1.7,2
0,qid:105,0,1,0,1,1,7,0,0,0,0,8,20,2,8,1,2.6,4
0,qid:106,0,0,1,1,1,4,0,0,1,0,5,15,2,6,1,1.8,3
1,qid:106,1,0,0,0,1,3,0,0,1,0,2,8,0,1,1,1,1
0,qid:107,1,0,0,2,0,5,0,0,0,1,5,15,1,7,5,1.9,3
1,qid:107,0,0,0,0,0,2,0,0,0,1,3,6,0,1,1,1,1
1,qid:108,1,0,0,1,1,4,0,0,0,1,3,11,0,3,3,1.7,2
0,qid:108,1,0,0,0,1,4,1,0,0,1,3,12,1,4,3,2,2
0,qid:109,2,0,1,0,1,3,0,0,0,1,3,11,0,6,2,1.3,2
1,qid:109,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1
1,qid:110,2,1,0,0,0,5,0,0,0,1,3,12,0,4,3,1.5,2
0,qid:110,4,0,1,0,1,4,0,0,0,1,7,20,1,8,1,1.8,3
0,qid:111,0,0,0,0,0,2,0,0,0,4,5,17,4,7,0,1.6,3
1,qid:111,3,0,0,0,2,7,0,0,0,2,3,17,0,5,3,1.4,2
0,qid:112,1,0,0,0,1,3,0,0,0,3,1,9,0,2,3,1,1
1,qid:112,0,0,1,0,0,3,0,0,0,0,2,6,0,2,2,1,1
1,qid:113,0,0,0,0,1,1,0,0,0,1,0,3,0,1,1,1,1
0,qid:113,2,0,1,0,1,4,0,1,1,1,4,17,2,7,2,2.4,3
0,qid:114,1,0,0,0,1,4,0,0,1,1,4,15,3,6,3,2.5,4
1,qid:114,0,0,0,0,1,3,0,0,1,0,2,9,2,3,1,2,3
1,qid:115,0,0,0,1,0,2,0,0,1,1,3,11,3,3,1,1.7,2
0,qid:115,1,1,0,0,2,0,0,0,2,2,5,14,1,5,1,2.4,3
0,qid:116,2,1,0,0,3,2,0,1,0,0,5,15,1,5,0,1.4,2
1,qid:116,1,0,0,1,0,0,0,0,0,0,2,4,0,1,0,1,1
1,qid:117,0,0,0,0,1,3,0,1,1,0,2,8,0,5,0,2.2,2
0,qid:117,2,1,0,1,1,2,0,1,0,1,5,15,1,7,1,2.1,3
1,qid:118,0,0,0,0,1,2,0,0,0,2,2,7,0,2,1,1.5,2
0,qid:118,1,0,0,2,3,3,0,0,0,2,8,19,0,6,1,2.3,2
0,qid:119,1,0,0,1,1,8,0,0,0,0,9,21,1,8,3,1.9,3
1,qid:119,1,0,0,1,0,2,0,0,0,4,4,14,2,8,2,1.8,3
1,qid:120,0,0,0,0,2,2,0,0,0,0,3,7,0,2,0,1.5,2
0,qid:120,1,0,0,0,2,6,0,0,0,1,6,18,1,9,2,1.4,3
0,qid:121,1,0,0,0,0,3,0,0,0,0,3,7,0,1,0,1,1
1,qid:121,0,0,0,0,0,4,0,0,0,0,1,5,0,1,0,1,1
1,qid:122,0,1,0,0,0,1,0,0,0,0,1,3,0,1,0,1,1
0,qid:122,3,0,0,0,0,3,0,0,0,0,5,12,1,6,2,1.8,3
1,qid:123,1,0,0,0,0,1,0,0,0,0,2,4,0,1,1,1,1
0,qid:123,2,0,0,1,1,2,0,0,0,0,5,11,0,5,3,1.4,2
1,qid:124,2,0,0,2,1,3,0,0,0,0,10,20,2,6,1,1.7,3
0,qid:124,6,0,2,1,3,1,0,0,2,2,5,22,0,11,4,3.5,5
1,qid:125,4,0,0,0,2,4,0,0,0,1,7,18,0,6,3,2.5,3
0,qid:125,3,1,1,1,0,0,0,0,0,1,3,10,0,4,1,2.5,4
1,qid:126,0,0,1,0,1,4,0,0,0,0,4,11,1,5,2,2,2
0,qid:126,1,0,0,3,1,4,0,0,1,1,7,19,1,7,3,2.7,3
0,qid:127,0,0,0,2,2,5,0,0,0,2,8,20,1,8,3,3.3,5
1,qid:127,1,0,0,0,1,6,0,0,0,0,4,12,0,6,1,3,4
0,qid:128,3,0,0,0,3,5,0,0,0,2,8,21,0,8,2,2.1,4
1,qid:128,0,0,0,1,1,0,0,0,0,0,1,3,0,1,1,1,1
1,qid:129,0,0,0,0,2,2,0,0,0,0,1,5,0,1,3,1,1
0,qid:129,3,0,0,1,1,3,0,0,0,2,6,16,0,6,1,2.2,4
0,qid:130,3,0,0,1,3,0,0,1,1,4,5,18,0,8,3,1.6,2
1,qid:130,1,1,0,0,1,1,0,0,0,2,3,10,1,3,1,1.3,2
1,qid:131,2,0,0,2,1,5,0,0,0,3,8,21,0,9,2,2.7,3
0,qid:131,3,0,0,1,1,4,0,0,0,1,12,23,1,8,1,2.5,5
0,qid:132,2,0,0,2,1,5,0,0,0,0,7,18,1,7,1,1.7,3
1,qid:132,2,0,0,0,0,4,0,0,0,1,4,11,0,5,3,1.4,2
0,qid:133,1,0,0,0,0,0,0,1,0,0,3,7,2,3,0,1.7,2
1,qid:133,2,1,0,1,0,1,0,0,0,1,4,10,0,3,0,2,3
1,qid:134,1,0,0,0,0,4,0,0,1,0,1,7,0,3,1,1.3,2
0,qid:134,3,0,0,1,0,3,0,1,0,1,5,15,1,8,2,2.3,3
0,qid:135,6,0,0,2,2,2,0,0,1,1,5,19,0,8,2,1.8,4
1,qid:135,4,1,0,1,1,1,0,0,2,1,3,14,0,5,1,2,2
0,qid:136,5,0,1,2,0,1,0,1,0,0,6,17,1,9,3,2.4,4
1,qid:136,4,0,0,0,0,5,0,0,1,1,3,15,1,6,2,1.2,2
1,qid:137,3,0,0,0,1,1,0,0,0,0,4,10,1,4,0,2.3,3
0,qid:137,0,0,1,3,0,2,0,0,0,1,8,18,3,7,3,1.7,2
