class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
0,qid:1272,0,1,0,1,0,2,0,0,0,1,2,7,0,2,1,1.5,2
0,qid:1273,1,0,0,1,0,3,0,0,0,2,6,15,2,6,2,1.8,3
1,qid:1273,0,0,0,0,0,2,0,0,0,0,2,7,1,2,0,1,1
1,qid:1274,0,0,0,1,2,2,0,0,0,0,5,11,1,3,0,2,3
0,qid:1274,0,0,0,0,1,3,0,0,0,1,5,12,1,4,1,1.8,3
0,qid:1275,2,0,0,2,0,3,0,0,1,0,6,16,0,9,1,3.1,4
1,qid:1275,1,0,1,3,1,4,0,0,0,0,5,20,1,4,2,2.3,3
1,qid:1276,0,0,0,0,1,5,0,0,0,3,6,17,1,6,2,2.8,5
0,qid:1276,1,0,1,0,1,2,0,0,0,1,7,16,2,5,3,2.4,3
0,qid:1277,0,1,1,0,3,2,1,0,0,0,3,13,2,6,2,1.8,3
1,qid:1277,0,0,1,0,2,2,0,0,0,2,7,16,2,5,1,1.8,3
0,qid:1278,1,0,1,1,1,4,0,1,0,2,10,22,0,8,1,1.8,4
1,qid:1278,1,0,0,1,0,1,0,0,0,0,4,9,2,4,1,1.8,2
0,qid:1279,1,0,0,0,0,3,0,1,0,1,3,9,0,2,1,1.5,2
1,qid:1279,2,0,0,0,0,1,0,1,1,0,6,16,5,6,0,2,4
0,qid:1280,0,0,1,2,1,4,0,1,0,2,8,23,3,8,3,2.4,3
1,qid:1280,0,0,0,0,0,3,0,0,0,1,2,6,0,2,1,1,1
1,qid:1281,0,0,0,0,0,2,0,0,0,0,5,9,2,3,0,1.3,2
0,qid:1281,0,0,0,0,0,2,0,0,0,1,3,8,2,2,1,1.5,2
0,qid:1282,2,0,0,2,0,1,0,0,0,1,6,15,3,5,0,1.8,3
1,qid:1282,0,0,0,0,1,6,0,0,0,1,4,14,1,6,2,1.7,3
1,qid:1283,0,0,0,2,0,0,0,0,0,0,4,8,2,2,0,1.5,2
0,qid:1283,1,0,0,3,0,5,0,0,1,0,9,19,0,7,3,1.6,3
0,qid:1284,1,0,0,1,1,0,0,0,0,2,4,11,0,2,0,1,1
1,qid:1284,1,0,0,0,0,0,0,1,0,0,2,5,1,2,0,1,1
1,qid:1285,1,0,0,1,0,1,0,1,1,2,4,15,3,7,1,1.3,2
0,qid:1285,0,0,2,1,0,3,0,0,1,4,7,22,4,8,3,2,3
0,qid:1286,0,0,1,0,1,8,0,0,0,2,6,20,2,8,2,2.4,4
1,qid:1286,0,0,0,1,0,0,0,0,0,0,3,5,1,1,0,1,1
0,qid:1287,0,0,3,2,2,1,0,1,0,2,9,23,3,8,2,1.5,2
1,qid:1287,0,0,0,0,0,5,0,0,0,0,7,18,5,6,1,2.8,5
